ID,workmate,academic,non-academic,pets,sex,age,course_hours,degree,job,siblings,apps,devices,procrastination,team
1,0,0,1,0,0,22,11.5,1,1,1,3,4,50,01W04
2,0,1,1,0,0,23,8,0,1,0,5,4,39,01W04
